T	102GT	202GT	502GT	103GT	203GT	503GT	104GT	204GT	504GT	105GT	
-50	32.57	111.3	342.1	825.1	1901	4613	8743	NA	NA	NA
-40	18.48	61.34	175.4	405.3	909.0	2199	4218	8810	NA	NA
-30	10.84	33.69	92.54	206.6	453.2	1100	2132	4436	12091	NA
-20	6.594	18.79	50.44	109.9	236.6	576.2	1127	2329	6268	NA
-10	4.144	10.82	28.49	60.72	128.3	315.1	620.0	1272	3372	6920	
0	2.675	6.424	16.66	34.82	72.32	178.8	353.7	720.3	1880	3833	
10	1.773	3.939	10.06	20.66	42.24	104.9	208.6	421.8	1083	2190	
20	1.203	2.489	6.264	12.64	25.47	63.52	126.8	254.6	642.3	1289	
30	0.8354	1.618	4.019	7.968	15.82	39.62	79.36	158.2	391.9	780.9	
40	0.5918	1.080	2.651	5.164	10.10	25.37	50.96	100.8	245.4	485.2	
50	0.4273	0.7390	1.792	3.436	6.620	16.64	33.49	65.85	157.5	309.0	
60	0.3141	0.5170	1.239	2.341	4.444	11.16	22.51	43.99	103.3	201.2	
70	0.2347	0.3695	0.8753	1.631	3.050	7.645	15.44	29.98	69.20	133.6	
80	0.1782	0.2693	0.6304	1.159	2.138	5.338	10.80	20.82	47.23	90.53	
90	0.1373	0.1998	0.4624	0.8391	1.527	3.795	7.686	14.71	32.84	62.49	
100	0.1072	0.1507	0.3450	0.6181	1.111	2.742	5.556	10.57	23.22	43.90	
110	0.08483	0.1154	0.2614	0.4626	0.8209	2.014	4.082	7.720	16.68	31.34	
120	0.06787	0.08973	0.2010	0.3514	0.6160	1.501	3.043	5.720	12.15	22.69	
130	0.05488	0.07068	0.1566	0.2706	0.4686	1.1133	2.298	4.296	8.976	16.65	
140	0.04483	0.05638	0.1236	0.2111	0.3613	0.8662	1.758	3.269	6.719	12.39	
150	0.03697	0.04550	0.09865	0.1666	0.2820	0.6704	1.360	2.516	5.091	9.330	
160	0.03077	0.03715	0.07967	0.1330	0.2226	0.5247	1.064	1.958	3.903	7.107	
170	0.02584	0.03065	0.06501	0.1073	0.1777	0.4149	0.8414	1.539	3.024	5.472	
180	0.02189	0.02556	0.05358	0.08741	0.1432	0.3314	0.6714	1.222	2.367	4.255	
190	0.01869	0.02151	0.04457	0.07186	0.1166	0.2673	0.5408	0.9796	1.871	3.339	
200	0.01610	0.01826	0.03741	0.05960	0.09573	0.2174	0.4393	0.7919	1.492	2.644	
210	NA	NA	0.03167	0.04986	0.07929	0.1784	0.3597	0.6455	1.200	2.113	
220	NA	NA	0.02703	0.04204	0.06620	0.1475	0.2969	0.5303	0.9726	1.702	
230	NA	NA	0.02324	0.03573	0.05570	0.1230	0.2468	0.4389	0.7946	1.382	
240	NA	NA	0.02014	0.03059	0.04722	0.1032	0.2065	0.3658	0.6539	1.131	
250	NA	NA	0.01759	0.02640	0.04030	NA	0.1740	0.3068	0.5418	0.9323	
260	NA	NA	NA	NA	NA	NA	0.1475	0.2591	0.4519	0.7735	
270	NA	NA	NA	NA	NA	NA	0.1258	0.2201	0.3793	0.6459	
280	NA	NA	NA	NA	NA	NA	0.1079	0.1881	0.3203	0.5424	
290	NA	NA	NA	NA	NA	NA	0.09305	0.1616	0.2720	0.4583	
300	NA	NA	NA	NA	NA	NA	0.08065	0.1396	0.2323	0.3894	
